Date,^spx_d,^shc_d,^hsi_d,^ndq_d,^dji_d,^nkx_d
1901-12-19,8.37,,,,45.53,
1901-12-20,8.42,,,,45.75,
1901-12-21,8.43,,,,,
1901-12-23,8.37,,,,44.98,
1901-12-24,8.34,,,,44.56,
1901-12-26,8.43,,,,45.35,
1901-12-27,8.49,,,,45.85,
1901-12-28,8.53,,,,,
1901-12-30,8.51,,,,45.87,
1901-12-31,8.58,,,,46.76,
1902-01-02,8.63,,,,46.58,
1902-01-03,8.59,,,,46.53,
1902-01-04,8.59,,,,,
1902-01-06,8.63,,,,47.0,
1902-01-07,8.54,,,,46.51,
1902-01-08,8.58,,,,46.98,
1902-01-09,8.52,,,,46.41,
1902-01-10,8.49,,,,46.24,
1902-01-11,8.51,,,,,
1902-01-13,8.43,,,,45.85,
1902-01-14,8.34,,,,45.32,
1902-01-15,8.4,,,,45.74,
1902-01-16,8.41,,,,46.05,
1902-01-17,8.49,,,,46.37,
1902-01-18,8.46,,,,,
1902-01-20,8.43,,,,45.95,
1902-01-21,8.43,,,,45.95,
1902-01-22,8.43,,,,46.02,
1902-01-23,8.47,,,,46.36,
1902-01-24,8.46,,,,46.45,
1902-01-25,8.43,,,,,
1902-01-27,8.45,,,,46.48,
1902-01-28,8.55,,,,47.2,
1902-01-29,8.51,,,,46.9,
1902-01-30,8.55,,,,46.98,
1902-01-31,8.56,,,,47.04,
1902-02-01,8.56,,,,,
1902-02-03,8.53,,,,46.91,
1902-02-04,8.54,,,,46.8,
1902-02-05,8.59,,,,47.05,
1902-02-06,8.64,,,,47.02,
1902-02-07,8.66,,,,47.3,
1902-02-08,8.64,,,,,
1902-02-10,8.65,,,,46.95,
1902-02-11,8.66,,,,47.19,
1902-02-13,8.6,,,,46.77,
1902-02-14,8.61,,,,46.79,
1902-02-15,8.61,,,,,
1902-02-17,8.65,,,,47.29,
1902-02-18,8.62,,,,46.94,
1902-02-19,8.65,,,,47.46,
1902-02-20,8.52,,,,46.84,
1902-02-21,8.55,,,,47.06,
1902-02-24,8.56,,,,47.29,
1902-02-25,8.59,,,,47.46,
1902-02-26,8.56,,,,47.22,
1902-02-27,8.56,,,,47.27,
1902-02-28,8.53,,,,46.94,
1902-03-01,8.54,,,,,
1902-03-03,8.57,,,,47.29,
1902-03-04,8.53,,,,46.91,
1902-03-05,8.56,,,,47.05,
1902-03-06,8.64,,,,47.92,
1902-03-07,8.6,,,,47.48,
1902-03-08,8.6,,,,,
1902-03-10,8.54,,,,47.16,
1902-03-11,8.54,,,,47.31,
1902-03-12,8.55,,,,46.99,
1902-03-13,8.57,,,,47.26,
1902-03-14,8.6,,,,47.35,
1902-03-15,8.63,,,,,
1902-03-17,8.65,,,,47.5,
1902-03-18,8.67,,,,47.77,
1902-03-19,8.69,,,,48.16,
1902-03-20,8.72,,,,48.71,
1902-03-21,8.77,,,,48.9,
1902-03-22,8.76,,,,,
1902-03-24,8.77,,,,48.74,
1902-03-25,8.73,,,,48.53,
1902-03-26,8.73,,,,48.71,
1902-03-27,8.72,,,,48.68,
1902-03-31,8.74,,,,48.66,
